Purpose Code,Revised Purpose Code,diff purp code,Collateral Code,Revised Collateral Code,diff coll code,purp/coll diff,Property Type,Net Operating Income,Annual Debt Service,Appraised Value,SWAP?,State,Bank,Team,Region,Original             Balance,Net Current Balance,Unused Commitment,Open   Date,Date Maturity,Interest Rate,Guarantor?,Risk Code,Relationship ID,Division
83,83,match,8608,8300,diff,match/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"507,500.00 ","507,500.00 ",0.00 ,11/09/17,02/15/44,4.56%,YES,5,8489,
83,71,diff,8601,8402,diff,diff/diff,Hospitality,,,,,PA,FB,MOWERY,CPA,"2,975,100.00 ","2,975,100.00 ",0.00 ,03/02/16,03/02/38,3.24%,no,4,2338,
83,71,diff,8613,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"2,826,000.00 ","123,420.94 ","2,702,579.06 ",08/18/15,07/12/39,4.75%,YES,5,10741,
83,71,diff,8614,8300,diff,diff/diff,Multifamily,,,,,PA,FB,MOWERY,CPA,"2,700,000.00 ","2,429,944.36 ",0.00 ,01/30/13,07/28/34,4.75%,YES,5,10741,
83,83 ,match,8607,8405,diff,match/diff,Retail,,,,,DE,FB,WOOD,DMV,"665,700.00 ","426,509.33 ","239,190.67 ",06/14/17,06/14/37,4.25%,YES,4,15638,
83,83,match,8607,8401,diff,match/diff,Office,,,,,PA,FB,ROARK,SEPA,"24,451,140.00 ",0.00 ,"24,451,140.00 ",10/30/17,11/01/25,3.09%,YES,5,27342,
83,71,diff,8420,8401,diff,diff/diff,Office,,,,,PA,FB,ROARK,SEPA,"4,200,000.00 ","4,200,000.00 ",0.00 ,10/20/15,10/20/17,3.64%,no,4,8390,
83,71,diff,8420,8401,diff,diff/diff,Office,,,,,PA,FB,ROARK,SEPA,"1,735,500.00 ","1,735,500.00 ",0.00 ,05/12/16,05/12/18,3.64%,no,4,8390,
83,71,diff,8420,8401,diff,diff/diff,Office,,,,,PA,FB,ROARK,SEPA,"1,050,000.00 ","1,050,000.00 ",0.00 ,08/08/16,08/08/18,3.64%,no,4,8390,
83,71,diff,8420,8401,diff,diff/diff,Office,,,,,PA,FB,ROARK,SEPA,"250,000.00 ","250,000.00 ",0.00 ,10/28/16,10/28/18,3.64%,no,4,8390,
83,71,diff,8420,8401,diff,diff/diff,Office,,,,,PA,FB,ROARK,SEPA,"1,200,000.00 ","1,200,000.00 ",0.00 ,11/08/16,11/08/18,3.64%,no,4,8390,
83,81,diff,8300,8300,match,diff/match,Multifamily,,,,,PA,LAB,KIRK,SEPA,"4,875,000.00 ","4,486,000.00 ",0.00 ,02/13/12,02/13/37,4.50%,YES,5 ,164,
